"Overall Index Evaluation (Full Table) based on ""Grouped Serach Words Final""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All Other Sentiments,,,Other and Negative Sentiment,,,All Language,,,Crisis Language,,,Fear Language,,,Hedging Language,,,Negative Sentiment,,,Opinion Language,,,Positive Sentiment,,,Risk Language,,,
,Country Identification Scheme,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,
All Crisis Countries (Title + Snippet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1+ Mentions in Title + Snippet,0.515,0.206,0.821,0.531,0.218,0.828,0.516,0.207,0.821,0.450,0.156,0.850,0.440,0.154,0.824,0.487,0.182,0.837,0.548,0.217,0.885,0.535,0.206,0.891,0.502,0.197,0.818,0.474,0.173,0.836,
,2+ Mentions in Title + Snippet,0.365,0.150,0.568,0.324,0.128,0.528,0.304,0.118,0.500,0.448,0.161,0.807,0.399,0.142,0.732,0.278,0.105,0.471,0.364,0.135,0.632,0.391,0.143,0.692,0.361,0.138,0.605,0.362,0.128,0.667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5 Crisis Countries (Title + Snippet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1+ Mentions in Title + Snippet,0.620,0.306,0.833,0.644,0.327,0.850,0.630,0.314,0.842,0.483,0.192,0.778,0.556,0.250,0.800,0.640,0.302,0.889,0.657,0.316,0.900,0.673,0.328,0.913,0.634,0.315,0.850,0.552,0.243,0.810,
,2+ Mentions in Title + Snippet,0.263,0.231,0.273,0.328,0.308,0.333,0.246,0.231,0.250,0.388,0.161,0.600,0.390,0.182,0.545,0.431,0.357,0.455,0.342,0.200,0.417,0.345,0.222,0.400,0.338,0.192,0.417,0.362,0.200,0.455,
,3+ Mentions in Title + Snippet,0.492,0.462,0.500,0.300,0.300,0.300,0.403,0.357,0.417,0.514,0.282,0.647,0.423,0.261,0.500,0.583,0.583,0.583,0.438,0.292,0.500,0.462,0.353,0.500,0.379,0.278,0.417,0.410,0.294,0.455,
,5+ Mentions in Title + Snippet,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5 Crisis Countries (Title + Full Document),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1+ Mentions in Title + Full Document,0.551,0.234,0.833,0.534,0.222,0.824,0.538,0.226,0.824,0.507,0.200,0.824,0.597,0.268,0.864,0.534,0.222,0.824,0.534,0.222,0.824,0.590,0.250,0.895,0.481,0.194,0.765,0.447,0.175,0.733,
,2+ Mentions in Title + Full Document,0.630,0.291,0.889,0.630,0.314,0.842,0.579,0.264,0.824,0.473,0.184,0.778,0.543,0.246,0.778,0.614,0.280,0.875,0.588,0.275,0.824,0.593,0.254,0.889,0.542,0.232,0.813,0.612,0.269,0.900,
,3+ Mentions in Title + Full Document,0.473,0.318,0.538,0.435,0.286,0.500,0.473,0.318,0.538,0.395,0.167,0.600,0.368,0.163,0.538,0.417,0.250,0.500,0.211,0.111,0.273,0.347,0.179,0.455,0.427,0.233,0.538,0.347,0.208,0.417,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5 Crisis Countries (Title + Full Document) - Limited mentions of other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1+ Mentions in Title + Snippet, 0 others",0.083,0.050,0.100,0.303,0.182,0.364,0.373,0.217,0.455,0.439,0.185,0.667,0.309,0.152,0.417,0.224,0.130,0.273,0.333,0.161,0.455,0.347,0.208,0.417,0.333,0.161,0.455,0.321,0.167,0.417,
,"2+ Mentions in Title + Snippet, 0 others",0.385,0.333,0.400,0.313,0.375,0.300,0.098,0.091,0.100,0.476,0.244,0.625,0.526,0.333,0.615,0.385,0.333,0.400,0.455,0.429,0.462,0.469,0.300,0.545,0.303,0.182,0.364,0.347,0.208,0.417,
,"3+ Mentions in Title + Snippet, 0 others",0.116,0.333,0.100,0.116,0.333,0.100,0.000,0.000,0.000,0.204,0.222,0.200,0.313,0.750,0.273,0.114,0.250,0.100,0.111,0.200,0.100,0.294,0.429,0.273,0.196,0.286,0.182,0.222,0.400,0.200,
,"1+ Mentions in Title + Snippet, <=2 others",0.607,0.333,0.765,0.660,0.412,0.778,0.686,0.412,0.824,0.581,0.240,0.900,0.573,0.273,0.789,0.636,0.333,0.824,0.664,0.333,0.882,0.641,0.306,0.882,0.619,0.317,0.813,0.640,0.327,0.842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only top_n countries (and tied) alowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1+ Mentions in Title + Snippet, Top 1",0.667,0.353,0.857,0.629,0.305,0.857,0.667,0.327,0.900,0.566,0.228,0.900,0.526,0.235,0.762,0.664,0.327,0.895,0.685,0.323,0.952,0.693,0.348,0.920,0.644,0.304,0.895,0.658,0.294,0.952,
,"3+ Mentions in Title + Snippet, Top 1",0.492,0.462,0.500,0.306,0.333,0.300,0.410,0.385,0.417,0.489,0.281,0.600,0.379,0.227,0.455,0.536,0.500,0.545,0.391,0.313,0.417,0.391,0.313,0.417,0.379,0.278,0.417,0.357,0.250,0.400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Topic Discrimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1+ Mentions in Title + Snippet, Avoid Sports Topics (2/100 topics)",0.547,0.231,0.833,0.526,0.215,0.824,0.530,0.219,0.824,0.492,0.191,0.813,0.594,0.264,0.864,0.526,0.215,0.824,0.526,0.215,0.824,0.590,0.250,0.895,0.481,0.194,0.765,0.440,0.169,0.733,
,"1+ Mentions in Title + Snippet, Avoid Sports, Weather, Entertainment (7/100 topics)",0.564,0.231,0.882,0.496,0.185,0.857,0.524,0.203,0.867,0.503,0.205,0.789,0.544,0.213,0.889,0.579,0.246,0.875,0.538,0.226,0.824,0.625,0.281,0.900,0.521,0.221,0.789,0.462,0.171,0.800,
