,profits,buoyant,turbulent,bad,advise,sound,clue,perhaps,expose,announce,abrupt,financial_crisis,threaten,recovery,confident,impact,adversely,financial&hazard,severely,undermine,recover,repercussion,deteriorate,suffer,unexpectedly,stabilise,financial&contagious,uncertain,improve,speak,suggest,may,destabilise,burden,negative,challenge,maybe,unable,pose,discourage,positively,success,fear,question,difficult,unsure,mitigate,aggravate,deterioration,solid,adequately,lose,strain,warn,stabilize,tell,threat,healthy,exacerbate,struggle,closure,drag,unease,anxious,possibly,terror,doubt,feel,risky,writedowns,inability,hint,successfully,stress,hurt,weakness,risk,force,spiral,deficit,resilience,stagnate,can,benign,say,damage,successful,favourably,positive,vulnerable,able,illiquid,rebound,downgrade,fragility,worsen,resilient,comfortable,financial&infect,decide,danger,erosion,gloomy,adverse,shortfall,erode,impairment,concern,depression,predict,think,contraction,improvement,enable,jeopardise,dent,buoyancy,squeeze,afraid,enhance,believe,costly,propose,favorable
0,proflts,subdue,tumultuous,dreadful,instruct,mawkish,pointer,maybe,vulnerable,unveil,sudden,credit_crunch,imperil,rebind,consident,effect,materially_affect,financial&hazard,severe,jeopardise,bounce_back,ramification,worsen,susfered,thanexpected,stabilize,financial&contagious,bleak,enhance,hear,argue,should,undermine,administrative_burden,positive,dilemma,perhaps,able,face,deter,cautiously,suc_cess,worry,ques_tions,extremely_difficult,unclear,minimise,exacerbate,sharp_deterioration,strong,properly,regain,severe_strain,argue,stabilise,remind,danger,robust,aggravate,scramble,mothballing,knock,disquiet,keen,conceivably,terrorism,worry,think,illiquid,writedown,unwillingness,suggestion,effectively,emphasise,affect,strength,reputational_risk,threaten,downward_spiral,budget_deficit,strength,stagnant,should,relatively_benign,concede,harm,succesful,unfavourably,negative,susceptible,unable,risky,bounce_back,rating_downgrade,vulnerability,deteriorate,robust,comsortable,financial&infect,agree,threat,deterioration,downbeat,unfavourable,surplus,undermine,impairment_charge,worry,recession,suggest,believe,slowdown,deterioration,allow,endanger,severely_dent,softness,constraint,ashamed,improve,argue,expensive,approve,unfavorable
1,prots,sluggish,torrid,lousy,consult,dissonant,explanation,indeed,susceptible,confirm,dramatic,turmoil,cripple,upturn,hopeful,adverse_effect,adversely_affect,,greatly,erode,rebound,implication,deterioration,susfering,unusually,weaken,,optimistic,strengthen,listen,indicate,can,destabilisation,strain,bearish,chal_lenge,anyway,unwilling,confront,dissuade,favourably,achievement,concern,ques_tion,diffcult,sceptical,counteract,beset,rapid_deterioration,robust,inadequately,shed,pressure,concede,normalise,say,existential_threat,decent,cause,try,redundancy,stumble,anxiety,eager,perhaps,terrorist,concern,remember,risk_averse,write_offs,failure,dismiss_suggestion,aggressively,acknowledge,adversely_affect,sluggishness,counterparty_risk,orce,escalate,surplus,robustness,sluggish,will,favourable,argue,reputational_damage,profitable,sceptically,bullish,expose,oblige,mispriced,rebound_strongly,downgradings,precariousness,aggravate,buoyant,happy,,choose,possibility,steady_erosion,bleak,unfavorable,deficit,diminish,writedown,con_cerns,stagflation,foresee,feel,deceleration,upturn,help,imperil,hurt,sluggishness,downward_pressure,fearful,strengthen,reckon,cumbersome,pro-_pose,favourable
2,prolts,depress,stormy,terrible,behalf,tinny,reassurance,surely,prone,reveal,ignominious,flnancial,endanger,upswing,optimistic,adverse_impact,adverse,,badly,hinder,recoup,consequence,weaken,susser,surprisingly,normalise,,pessimistic,deteriorate,tell,concede,will,disrupt,constraint,adverse,obstacle,really,reluctant,beset,encourage,warmly,uccess,anxiety,doubt,dificult,undecided,ameliorate,hamper,improvement,impressive,adequate,slip,upward_pressure,wamed,reflate,explain,threat_pose,strong,accentuate,unable,shutdown,weigh,nervousness,reluctant,potentially,islamic_extremism,question,imagine,unattractive,impairment_charge,ability,reject_suggestion,vigorously,insist,hamper,deterioration,danger,troop,vicious_cycle,defcit,fragility,decelerate,would,favorable,insist,severely_damage,sucessful,favourable,upbeat,prone,try,highly_leverage,recover,upgrade,resilience,exacerbate,surprisingly_resilient,uncomfortable,,ask,likelihood,diminution,pessimistic,favourable,loss,weaken,write_offs,concems,trauma,reckon,wonder_whether,acceleration,reduction,facilitate,undermine,tarnish,weakness,downturn,glad,maximise,acknowledge,painful,proposal,unfavourable
3,profis,lacklustre,traumatic,awful,recommend,tuneful,indication,probably,lay_bare,finalise,untimely,sinancial,disrupt,growth,sceptical,mpact,severely_affect,,irreparably,reinforce,claw_back,ripple_effect,improve,afflict,unexpected,restore_confidence,,sanguine,boost,summon,believe,would,inflame,pressure,unfavourable,problem,probably,fail,create,inhibit,sympathetically,sucess,fret,thorny_question,diffi_cult,unaware,alleviate,affect,deteriorate,healthy,sufficiently_robust,win,constraint,acknowledge,stabilization,ask,onslaught,solid,hamper,battle,lie_offs,push,unhappiness,try,easily,extremism,sceptical,believe,highly_leverage,impairment,reluctance,indicate,successful,concede,exacerbate,softness,systemic_risk,orces,uncontrollable,borrow_requirement,buoyancy,falter,must,robust,admit,irreparable_damage,successfu,warily,favourable,resistant,need,liquid,tumble,lower,robustness,deterioration,remarkably_resilient,luxurious,,determine,consequence,shrinkage,upbeat,negative,gap,steadily_erode,writedowns,anxiety,stagnation,anticipate,imagine,deterioration,acceleration,require,hinder,undermine,resilience,recession,sure,greatly_enhance,think,problematic,agree,relatively_benign
4,proits,resilient,eventful,horrible,inform,plangent,salutary_lesson,certainly,confine,launch,unexpected,finan_cial,undermine,slowdown,cautiously_optimistic,detrimental_impact,magnify,,grievously,bolster,regain,impact,sharp_deterioration,hurt,noticeably,falter,,precarious,mprove,admonish,acknowledge,must,imperil,dependency,benign,threat,surely,oblige,exacerbate,prevent,profoundly,accomplishment,suspicion,dilemma,hard,wary,offset,accentuate,slowdown,stable,appropriately,drop,downward_pressure,admit,restore_confidence,complain,spectre,respectable,magnify,strive,rationalisation,turn,uneasiness,want,probably,barbarity,scepticism,seem,problematic,writeoffs,willingness,concede,skilfully,argue,undermine,slowdown,probability,persuade,balloon,imbalance,weakness,stagnation,may,positive,tell,collateral_damage,ambitious,positively,bearish,heavily_expose,eager,cdos,fall,rating_agency,frailty,weaken,strong,uncomsortable,,consider,risk,erode,grim,currency_fluctuation,deficiency,hurt,goodwill_impairment,fear,great_depression,believe,know,stagnation,recovery,ensure,impede,bolster,steadiness,crunch,think,bolster,suggest,timeconsuming,announce,benign
5,profi,weak,tempestuous,nasty,decide,synthesiser,answer,even,exploit,approve,abruptly,meltdown,severely_damage,downturn,convince,consequence,impair,,hamstring,hamper,stabilise,reverberation,rapid_deterioration,hit,exceptionally,recover,,benign,reduce,harangue,predict,doe,neutralise,stigma,bullish,conundrum,think,loath,solve,preclude,naturally,succes,fearful,unanswered_question,tricky,apprehensive,lessen,bedevil,weakness,solidly,poorly,disappear,pres_sure,say,regain_momentum,admit,challenge,stable,beset,uphill_struggle,layoff,hobble,wariness,loath,even,islamist_terrorism,fear,wonder_whether,distress,unrealise_loss,apparent_inability,signal,satisfactorily,admit,hobble,weaken,downside_risk,army,deflationary_spiral,shortfall,vulnerability,shrink,could,subdue,acknowledge,cripple,suc_cessful,sympathetically,downbeat,likely,allow,illiquidity,slump,junk_status,sluggishness,deepen,stable,pleasant,,reconsider,spectre,appreciation,bullish,unforeseen,discrepancy,whittle_away,writeoff,con_cern,malaise,argue,remember,decline,mprovement,able,derail,boost,firmness,strain,aware,optimise,convince,complicate,recommend,positive
6,prolits,robust,rocky,wrong,congratulate,appealingly,puzzle,obviously,hurt,propose,precipitous,liquidity_crunch,jeopardise,revival,reasonably_confident,repercussion,unfavourable,,cripple,imperil,suffer,spillover_effect,depress,recover,after,strengthen,,volatile,bolster,upbraid,conclude,merely,instability,dependence,weak,difficulty,remember,try,aggravate,hinder,thoroughly,breakthrough,speculation,query,dimcult,ignorant,negate,adversely_affect,decline,stellar,fully,earn,burden,suggest,choke_off,recall,obstacle,resilient,affect,uphill_battle,closing,limp,apprehension,disincline,maybe,atrocity,misgiving,forget,safe,loss,determination,indication,energetically,say,crimp,buoyancy,nsks,oblige,creep,budget,dynamism,anaemic,doe,unfavourable,believe,tarnish,innovative,favorable,benign,resilient,keen,opaque,dip,fitch,strength,dire,sluggish,agreeable,,instruct,problem,degradation,rosy,adversely,shortage,severely_dent,writeoffs,unease,epidemic,warn,guess,shrinkage,increase,encourage,hamper,erode,strength,suck,averse,maximize,concede,disruptive,plan,worrisome
7,prolt,strong,miserable,atrocious,rely,bouncy,inkling,arguably,perceive,outline,sharp,sinan-_cial,paralyse,nascent_recovery,believe,spillover_effect,negative,,severely_affect,stifle,erase,adverse_consequence,shrink,benesited,unprecedentedly,regain_momentum,,unsure,increase,berate,confirm,shall,aggravate,red_tape,favourable,daunt_task,…,unlikely,tackle,stifle,somewhat,resilience,hope,debate,difcult,ponder,minimize,magnify,shrinkage,resilient,sufficiently,climb,ressure,predict,readjust,convince,pressure,buoyant,heighten,attempt,stoppage,pull,dissatisfaction,desperate,almost_certainly,islamist_terrorist,suspicion,realise,opportunistic,writeoff,desire,suggest,intensively,suggest,erode,malaise,likelihood,urge,uncontrolled,psbr,solidity,slow,ould,accommodative,reckon,destroy,uccessful,cautiously,strong,problematic,enable,securitised,rebind,default,solidity,depress,subdue,risk_averse,,ponder,hazard,weakness,optimistic,worsen,outflow,exacerbate,unrealise_loss,disquiet,reces_sion,confidently_predict,realise,downturn,uplift,assist,fatally_undermine,weaken,tightness,downward_spiral,pretend,undermine,predict,inefficient,envisage,disadvantageous
8,proflt,stagnant,choppy,rotten,insist,whimsy,succour,possibly,ignore,nnounced,drastic,upheaval,decimate,turnround,adamant,implication,severely_dent,,drastically,impede,subside,fallout,stabilise,susfers,alarmingly,reflate,,unclear,mproved,observe,imply,mav,paralyse,risk,unfavorable,ethical_dilemma,here,refuse,sidestep,prohibit,clearly,prowess,doubt,conundrum,impossible,unconvinced,neutralise,worsen,erosion,respectable,prudently,gain,tension,insist,deleverage,assure,vulnerability,unhealthy,plague,eager,compulsory_redundancy,weigh_heavily,scepticism,hesitant,hopefully,jihadism,fret,know,highrisk,markdowns,refusal,acknowledge,robustly,believe,hit,resilience,nsk,civilian,skyrocket,external_imbalance,steadiness,slacken,have,uncertain,warn,devastate,hugely_successful,optimistic,disappoint,sensitive,ability,cdo,slip,fitch_rating,parlous_state,rapid_deterioration,healthy,relax,,persuade,fear,decline,bearish,favorable,deterioration,curtail,npls,nervousness,illness,concede,forget,recession,improve,complement,stymie,dampen,upswing,drain,mindful,boost,insist,burdensome,outline,accommodative
9,prfits,severely_depress,relative_calm,unpleasant,ask,unearthly,object_lesson,self_indulgent,affect,warn,cataclysmic,systemic,destabilise,turnaround,assure,detrimental_effect,affect,,gravely,fatally_undermine,rebound_strongly,adverse_impact,stagnate,reel,persistently,restore,,jittery,improvement,practise,reckon,ought,cripple,cost,contractionary,task,crazy,inability,sacing,restrain,positive,ambition,jitter,concern,difflcult,deeply_sceptical,outweigh,cause,contraction,uninspiring,sufficient,recover,pres-_sure,complain,rebalance,acknowledge,provocation,sustainable,worsen,fail,pit_closure,propel,frustration,acutely_sensitive,dangerous,violence,believe,wonder,expensive,subprime,eagerness,warn,swiftly,warn,aggravate,overvaluation,volatility,reluctant,runaway,gdp,durability,flatlining,often,unstable,conclude,endanger,excite,harshly,cautious,fragile,ready,synthetic_cdo,plummet,moody,weakness,sharp_deterioration,volatile,unsatisfied,,reexamine,peril,destruction,glum,severe,outlay,crimp,delinquency,concem,psychosis,acknowledge,wonder,upturn,rebind,empower,severely_hamper,adversely_affect,upturn,upward_pressure,oblivious,complement,say,dangerous,oppose,remunerative
10,profl,buoyancy,volatile,miserable,tell,astringent,glimpse,presumably,afflict,conclude,disorderly,turbulence,avert,improvement,hope,ripple_effect,detrimental,,severely_damage,endanger,recede,adverse_effect,decline,plague,sharply,deteriorate,,unpredictable,maintain,lecture,emphasise,yet,counterproductive,pain,downbeat,headwind,definitely,struggle,overcome,impede,mildly,dynamism,warn,thorny_issue,easy,skeptical,quantify,plague,deceleration,sturdy,rigorously,fall,squeeze,warning,recalibrate,observe,threaten,satisfactory,overshadow,fight,shut_down,lurch,misgiving,strive,–,extremist,anxiety,sense,volatile,redemptions,attempt,express_disappointment,efficiently,indicate,hinder,fragility,moral_hazard,threat,vicious_spiral,fiscal,vitality,depress,ought,bleak,suggest,catastrophic,prestigious,sanguine,robust,immune,enough,volatile,retreat,underweight,inadequacy,severe,weak,comfy,,refuse,reality,weaken,sanguine,unforeseeable,cutback,decimate,loss,oncern,affliction,say,convince,upswing,turnaround,need,adversely_affect,severely_damage,fragility,spiral,stupid,underpin,recognise,unnecessary,unanimously_approve,reliable_indicator
11,profts,volatile,febrile,unfortunate,oversee,soporific,cautionary_tale,quite,suffer,anounced,hasty,cri_sis,force,bounceback,supportive,ramification,severely_curtail,,exacerbate,stymie,fall,dire_consequence,normalise,bounce_back,firstquarter,rebalance,,uncertainty,optimise,shout,say,ould,choke_off,onus,volatile,hurdle,obviously,eager,cause,penalise,distinctly,outperformance,anger,vex_question,virtually_impossible,ambivalent,magnify,hinder,slippage,unexciting,accurately,miss,difficulty,conclude,deflate,believe,consequence,good,trigger,difficult,demolition,rumble,discontent,able,costly,islamist_extremism,wonder,grumble,plain_vanilla,capital_raisings,unable,argue,rapidly,conclude,harm,underperformance,risk_premia,rearm,excessive,expenditure,softness,slump,couldn,predictable,add,irreparable,sophisticate,kindly,favorable,unstable,want,sivs,slide,downward_revision,buoyancy,heighten,profitable,closely_align,,con_sider,difficulty,precipitous_drop,sombre,deterioration,black_hole,reduce,contingent_liability,scepticism,privation,speculate,really,downward_revision,decline,incentivise,impair,crimp,buoyant,slump,proud,reinforce,admit,troublesome,draft,propitious
12,prost,upbeat,perilous,scary,appoint,sublimely,timely_reminder,hardly,confront,agree,gradual,linancial,threat,cyclical_upswing,con-_cerned,inflict,ameliorate,,irretrievably,destabilise,slip,collateral_damage,weak,face,month_onmonth,revive,,gloomy,restore,pontificate,admit,likely,unstable,reliance,adversely,uphill_battle,forget,impossible,provoke,shy_away,sceptically,progress,con_cerns,disagreement,tough,mindful,avoid,wrack,worsen,decent,correctly,claw_back,fragility,stress,weaken,inform,hostility,unexciting,undermine,grapple,disposal,slip,irritation,unable,plausibly,banditry,qualm,behave,toxic,rating_downgrade,effort,acknowledgment,dynamically,reject_suggestion,cripple,firmness,illiquidity,unilaterally,deflation,unemployment,toughness,deteriorate,want,perverse,stress,undermine,cessful,keenly,gloomy,unattractive,wish,synthetic_cdos,plunge,tumble,centrality,intensify,benign,attractive,,discuss,stigma,intensification,dismal,recessionary,imbalance,constrain,unrealise_gain,misgiving,deflation,indicate,understand,rebind,uptick,seek,disrupt,depress,upward_trend,drag,suppose,impair,wonder_whether,wasteful,consider,adverse
13,proit,doldrums,roller_coaster,ugly,foist,portentous,pleasant_surprise,sometimes,cause,declare,suddenness,recession,vow,recession,unconvinced,damage_inflict,currency_fluctuation,,aggravate,underpin,evaporate,aftershocks,dire,inflict,unspectacular,stabilisation,,fragile,accelerate,declaim,insist,expedient,hinder,downward_pressure,short_term,headache,lucky,anxious,expose,induce,inwardly,survival,concems,quandary,problematic,know,reduce,ameliorate,upturn,enviable,adequacy,cede,instability,confirm,stabilisation,reassure,problem,positive,bedevil,anxious,gartcosh,drive,anger,incline,either,jihad,widespread_scepticism,resentful,costly,divestments,readiness,whiff,profitably,recognise,dent,weak,leverage,yugoslav_army,hyper_inflation,inflation,sensitivity,lag_behind,need,mute,tell_reporter,hurt,successul,toppy,optimistic,unlikely,anxious,overpriced,climb,writedowns,cyclicality,stabilise,vulnerable,safe,,advise,vulnerability,downward_spiral,gloomy_outlook,positive,overspend,outweigh,intangible_asset,suspicion,disorder,conclude,afraid,retrenchment,slippage,want,stifle,affect,bullish_sentiment,flatten,hate,maintain,conclude,onerous,abolish,important_determinant
14,prols,favourable,tumult,stupid,urge,quirky,consolation,too,induce,reaffirm,painful,cnsis,fear,ecovery,doubt,dependence,depress,,massively,exacerbate,plummet,effect,diverge,endure,quarterly,soften,,relatively_benign,maximise,recite,warn,.may,jeopardise,hardship,gloomy,uphill_struggle,wonder_whether,virtually_impossible,magnify,protect,differently,strength,nervousness,inquire,notoriously_difficult,unconcerned,eliminate,severely_affect,downturn,buoyant,susficient,destroy,presure,fear,kickstart,argue,backlash,steady,hurt,flounder,disruption,suck,concern,urge,counterproductive,brutality,think,disorientate,attractive,goodwill_impairment,uncanny_ability,acknowledgement,consistently,acutely_aware,decimate,turbulence,vulnerability,military,inflationary_spiral,outlay,success,stabilise,usually,deflationary,explain,corrode,impressive,positive,unfavourable,impervious,incline,abcp,bounce,fall,interconnectedness,improve,solid,hospitable,,clarify,instability,reassessment,mistic,unanticipated,downward_revision,erosion,exceptional_item,doubt,famine,forecast,worry,upward_revision,slight_improvement,use,scupper,batter,bullish_mood,intense_competition,terrify,facilitate,assume,complex,reject,stable
15,profits,buoyant,turbulent,bad,advise,sound,clue,perhaps,expose,announce,abrupt,financial_crisis,threaten,recovery,confident,impact,adversely,,severely,undermine,recover,repercussion,deteriorate,suffer,unexpectedly,stabilise,,uncertain,improve,speak,suggest,may,destabilise,burden,negative,challenge,maybe,unable,pose,discourage,positively,success,fear,question,difficult,unsure,mitigate,aggravate,deterioration,solid,adequately,lose,strain,warn,stabilize,tell,threat,healthy,exacerbate,struggle,closure,drag,unease,anxious,possibly,terror,doubt,feel,risky,writedowns,inability,hint,successfully,stress,hurt,weakness,risk,force,spiral,deficit,resilience,stagnate,can,benign,say,damage,successful,favourably,positive,vulnerable,able,illiquid,rebound,downgrade,fragility,worsen,resilient,comfortable,,decide,danger,erosion,gloomy,adverse,shortfall,erode,impairment,concern,depression,predict,think,contraction,improvement,enable,jeopardise,dent,buoyancy,squeeze,afraid,enhance,believe,costly,propose,favorable
